1.009	Send All	Logical Clock: 1	Queue Length: 0	To VMs [0, 1]
2.014	Receive	Logical Clock: 6	Queue Length: 1	From Network
3.018	Receive	Logical Clock: 7	Queue Length: 4	From Network
4.019	Receive	Logical Clock: 9	Queue Length: 6	From Network
5.024	Receive	Logical Clock: 10	Queue Length: 5	From Network
6.029	Receive	Logical Clock: 11	Queue Length: 5	From Network
7.034	Receive	Logical Clock: 12	Queue Length: 6	From Network
8.035	Receive	Logical Clock: 13	Queue Length: 7	From Network
9.039	Receive	Logical Clock: 15	Queue Length: 7	From Network
10.041	Receive	Logical Clock: 16	Queue Length: 8	From Network
11.046	Receive	Logical Clock: 22	Queue Length: 11	From Network
12.047	Receive	Logical Clock: 25	Queue Length: 14	From Network
13.052	Receive	Logical Clock: 28	Queue Length: 15	From Network
14.053	Receive	Logical Clock: 29	Queue Length: 15	From Network
15.057	Receive	Logical Clock: 30	Queue Length: 16	From Network
16.060	Receive	Logical Clock: 35	Queue Length: 18	From Network
17.061	Receive	Logical Clock: 38	Queue Length: 17	From Network
18.066	Receive	Logical Clock: 39	Queue Length: 17	From Network
19.069	Receive	Logical Clock: 41	Queue Length: 18	From Network
20.073	Receive	Logical Clock: 42	Queue Length: 20	From Network
21.073	Receive	Logical Clock: 43	Queue Length: 20	From Network
22.075	Receive	Logical Clock: 44	Queue Length: 21	From Network
23.080	Receive	Logical Clock: 45	Queue Length: 24	From Network
24.084	Receive	Logical Clock: 47	Queue Length: 25	From Network
25.086	Receive	Logical Clock: 48	Queue Length: 26	From Network
26.088	Receive	Logical Clock: 49	Queue Length: 28	From Network
27.093	Receive	Logical Clock: 51	Queue Length: 29	From Network
28.097	Receive	Logical Clock: 52	Queue Length: 29	From Network
29.100	Receive	Logical Clock: 56	Queue Length: 30	From Network
30.102	Receive	Logical Clock: 58	Queue Length: 32	From Network
31.107	Receive	Logical Clock: 60	Queue Length: 34	From Network
32.108	Receive	Logical Clock: 62	Queue Length: 36	From Network
33.111	Receive	Logical Clock: 64	Queue Length: 40	From Network
34.113	Receive	Logical Clock: 65	Queue Length: 41	From Network
35.115	Receive	Logical Clock: 70	Queue Length: 43	From Network
36.120	Receive	Logical Clock: 74	Queue Length: 46	From Network
37.121	Receive	Logical Clock: 75	Queue Length: 49	From Network
38.122	Receive	Logical Clock: 80	Queue Length: 50	From Network
39.127	Receive	Logical Clock: 81	Queue Length: 51	From Network
40.127	Receive	Logical Clock: 82	Queue Length: 52	From Network
41.128	Receive	Logical Clock: 83	Queue Length: 53	From Network
42.133	Receive	Logical Clock: 89	Queue Length: 57	From Network
43.134	Receive	Logical Clock: 90	Queue Length: 57	From Network
44.138	Receive	Logical Clock: 91	Queue Length: 58	From Network
45.139	Receive	Logical Clock: 92	Queue Length: 59	From Network
46.141	Receive	Logical Clock: 93	Queue Length: 60	From Network
47.142	Receive	Logical Clock: 94	Queue Length: 62	From Network
48.147	Receive	Logical Clock: 96	Queue Length: 62	From Network
49.148	Receive	Logical Clock: 97	Queue Length: 64	From Network
50.153	Receive	Logical Clock: 98	Queue Length: 65	From Network
51.157	Receive	Logical Clock: 99	Queue Length: 66	From Network
52.161	Receive	Logical Clock: 103	Queue Length: 67	From Network
53.166	Receive	Logical Clock: 104	Queue Length: 70	From Network
54.167	Receive	Logical Clock: 105	Queue Length: 73	From Network
55.168	Receive	Logical Clock: 107	Queue Length: 75	From Network
56.174	Receive	Logical Clock: 109	Queue Length: 76	From Network
57.174	Receive	Logical Clock: 113	Queue Length: 77	From Network
58.180	Receive	Logical Clock: 114	Queue Length: 78	From Network
59.184	Receive	Logical Clock: 115	Queue Length: 80	From Network
