1.005	Internal	Logical Clock: 1	Queue Length: 0	No external communication
2.007	Receive	Logical Clock: 3	Queue Length: 2	From Network
3.012	Receive	Logical Clock: 6	Queue Length: 2	From Network
4.013	Receive	Logical Clock: 7	Queue Length: 3	From Network
5.013	Receive	Logical Clock: 10	Queue Length: 6	From Network
6.013	Receive	Logical Clock: 11	Queue Length: 6	From Network
7.019	Receive	Logical Clock: 12	Queue Length: 8	From Network
8.020	Receive	Logical Clock: 13	Queue Length: 9	From Network
9.026	Receive	Logical Clock: 17	Queue Length: 9	From Network
10.027	Receive	Logical Clock: 18	Queue Length: 11	From Network
11.033	Receive	Logical Clock: 19	Queue Length: 11	From Network
12.033	Receive	Logical Clock: 22	Queue Length: 11	From Network
13.039	Receive	Logical Clock: 25	Queue Length: 13	From Network
14.039	Receive	Logical Clock: 26	Queue Length: 14	From Network
15.041	Receive	Logical Clock: 28	Queue Length: 13	From Network
16.046	Receive	Logical Clock: 29	Queue Length: 12	From Network
17.047	Receive	Logical Clock: 30	Queue Length: 14	From Network
18.049	Receive	Logical Clock: 33	Queue Length: 14	From Network
19.052	Receive	Logical Clock: 37	Queue Length: 15	From Network
20.054	Receive	Logical Clock: 38	Queue Length: 15	From Network
21.056	Receive	Logical Clock: 39	Queue Length: 14	From Network
22.060	Receive	Logical Clock: 42	Queue Length: 14	From Network
23.065	Receive	Logical Clock: 48	Queue Length: 15	From Network
24.069	Receive	Logical Clock: 49	Queue Length: 15	From Network
25.070	Receive	Logical Clock: 50	Queue Length: 15	From Network
26.074	Receive	Logical Clock: 52	Queue Length: 14	From Network
27.079	Receive	Logical Clock: 53	Queue Length: 13	From Network
28.083	Receive	Logical Clock: 54	Queue Length: 13	From Network
29.089	Receive	Logical Clock: 65	Queue Length: 13	From Network
30.090	Receive	Logical Clock: 66	Queue Length: 15	From Network
31.094	Receive	Logical Clock: 67	Queue Length: 17	From Network
32.095	Receive	Logical Clock: 71	Queue Length: 17	From Network
33.101	Receive	Logical Clock: 72	Queue Length: 18	From Network
34.103	Receive	Logical Clock: 74	Queue Length: 17	From Network
35.109	Receive	Logical Clock: 76	Queue Length: 17	From Network
36.110	Receive	Logical Clock: 87	Queue Length: 19	From Network
37.115	Receive	Logical Clock: 90	Queue Length: 19	From Network
38.120	Receive	Logical Clock: 91	Queue Length: 20	From Network
39.122	Receive	Logical Clock: 95	Queue Length: 21	From Network
40.126	Receive	Logical Clock: 98	Queue Length: 21	From Network
41.131	Receive	Logical Clock: 110	Queue Length: 22	From Network
42.136	Receive	Logical Clock: 112	Queue Length: 21	From Network
43.136	Receive	Logical Clock: 115	Queue Length: 21	From Network
44.143	Receive	Logical Clock: 116	Queue Length: 21	From Network
45.145	Receive	Logical Clock: 117	Queue Length: 21	From Network
46.150	Receive	Logical Clock: 118	Queue Length: 23	From Network
47.155	Receive	Logical Clock: 120	Queue Length: 25	From Network
48.159	Receive	Logical Clock: 121	Queue Length: 26	From Network
49.160	Receive	Logical Clock: 124	Queue Length: 26	From Network
50.165	Receive	Logical Clock: 127	Queue Length: 26	From Network
51.170	Receive	Logical Clock: 128	Queue Length: 28	From Network
52.171	Receive	Logical Clock: 136	Queue Length: 30	From Network
53.176	Receive	Logical Clock: 138	Queue Length: 33	From Network
54.179	Receive	Logical Clock: 140	Queue Length: 34	From Network
55.180	Receive	Logical Clock: 142	Queue Length: 34	From Network
56.185	Receive	Logical Clock: 144	Queue Length: 34	From Network
57.190	Receive	Logical Clock: 145	Queue Length: 34	From Network
58.193	Receive	Logical Clock: 146	Queue Length: 35	From Network
59.195	Receive	Logical Clock: 152	Queue Length: 35	From Network
