0.511	Send	Logical Clock: 1	Queue Length: 0	To VM 2
1.012	Receive	Logical Clock: 6	Queue Length: 0	From Network
1.512	Receive	Logical Clock: 9	Queue Length: 0	From Network
2.017	Receive	Logical Clock: 10	Queue Length: 0	From Network
2.523	Receive	Logical Clock: 13	Queue Length: 1	From Network
3.024	Receive	Logical Clock: 14	Queue Length: 0	From Network
3.525	Receive	Logical Clock: 21	Queue Length: 1	From Network
4.026	Receive	Logical Clock: 22	Queue Length: 0	From Network
4.531	Receive	Logical Clock: 27	Queue Length: 1	From Network
5.032	Receive	Logical Clock: 28	Queue Length: 2	From Network
5.538	Receive	Logical Clock: 29	Queue Length: 3	From Network
6.038	Receive	Logical Clock: 32	Queue Length: 3	From Network
6.540	Receive	Logical Clock: 33	Queue Length: 3	From Network
7.045	Receive	Logical Clock: 34	Queue Length: 3	From Network
7.550	Receive	Logical Clock: 38	Queue Length: 3	From Network
8.054	Receive	Logical Clock: 40	Queue Length: 3	From Network
8.554	Receive	Logical Clock: 43	Queue Length: 3	From Network
9.055	Receive	Logical Clock: 45	Queue Length: 4	From Network
9.561	Receive	Logical Clock: 48	Queue Length: 3	From Network
10.062	Receive	Logical Clock: 53	Queue Length: 3	From Network
10.565	Receive	Logical Clock: 54	Queue Length: 5	From Network
11.069	Receive	Logical Clock: 56	Queue Length: 6	From Network
11.570	Receive	Logical Clock: 61	Queue Length: 7	From Network
12.076	Receive	Logical Clock: 63	Queue Length: 9	From Network
12.577	Receive	Logical Clock: 64	Queue Length: 11	From Network
13.083	Receive	Logical Clock: 65	Queue Length: 11	From Network
13.584	Receive	Logical Clock: 67	Queue Length: 11	From Network
14.085	Receive	Logical Clock: 68	Queue Length: 12	From Network
14.591	Receive	Logical Clock: 69	Queue Length: 14	From Network
15.095	Receive	Logical Clock: 70	Queue Length: 13	From Network
15.599	Receive	Logical Clock: 72	Queue Length: 13	From Network
16.101	Receive	Logical Clock: 73	Queue Length: 13	From Network
16.603	Receive	Logical Clock: 74	Queue Length: 13	From Network
17.108	Receive	Logical Clock: 75	Queue Length: 12	From Network
17.612	Receive	Logical Clock: 76	Queue Length: 12	From Network
18.114	Receive	Logical Clock: 77	Queue Length: 13	From Network
